Leverage,Big Winner,Small Winner,Neutral,Small Loser,Big Loser
1x,"$18,932","$11,601","$11,000","$10,433","$6,577"
3x,"$34,796","$12,804","$11,000","$9,298",LIQUIDATED
5x,"$50,660","$14,007","$11,000","$8,164",LIQUIDATED
10x,"$90,320","$17,014","$11,000","$5,327",LIQUIDATED
25x,"$209,299","$26,035","$11,000",LIQUIDATED,LIQUIDATED
50x,"$407,598","$41,069","$11,000",LIQUIDATED,LIQUIDATED
